startup_round_id,startup_id,participant_id,participant_type,round_record_date,traction
470,91074,2441,Startup,2013-4-02 22:17:10,50000
470,91074,100211,Startup,2013-4-02 22:17:10,50000
470,91074,15,User,2013-4-02 22:17:10,50000
470,91074,25,User,2013-4-02 22:17:10,50000
470,91074,22,User,2013-4-02 22:17:10,50000
471,91083,173878,Startup,2012-4-02 22:17:10,25526
471,91083,174126,Startup,2012-4-02 22:17:10,25526
471,91083,90139,Startup,2012-4-02 22:17:10,25526
507,3003,5,User,2012-4-02 22:17:16,350000
507,3003,153301,Startup,2012-4-02 22:17:16,350000
549,92138,70,User,2012-4-03 03:04:52,12500
551,92189,105348,Startup,2012-4-02 22:17:23,4170
606,1562,4032,Startup,2013-4-02 22:17:30,15000
606,1562,31,User,2013-4-04 03:47:24,15000
695,93695,74,User,2012-4-02 22:17:44,3e+07
695,93695,46,User,2012-4-02 22:17:44,3e+07
695,93695,22,User,2012-4-02 22:17:44,3e+07
697,71988,26505,Startup,2012-4-02 22:17:45,3640000
697,71988,3003,Startup,2012-4-02 22:17:45,3640000
697,71988,167912,Startup,2012-4-02 22:17:45,3640000
878,4061,173878,Startup,2013-4-02 22:18:03,1e+05
878,4061,162940,Startup,2013-4-02 22:18:03,1e+05
878,4061,68,User,2013-4-02 22:18:03,1e+05
878,4061,90284,Startup,2013-4-02 22:18:04,1e+05
878,4061,4,User,2013-4-02 22:18:04,1e+05
878,4061,20,User,2013-4-02 22:18:04,1e+05
878,4061,21,User,2013-4-02 22:18:04,1e+05
10772,120020,14,User,2013-4-02 22:51:40,250000
10772,120020,22,User,2013-4-02 22:51:40,250000
10772,120020,16,User,2013-4-02 22:51:40,250000
10772,120020,56,User,2013-4-02 22:51:40,250000
10772,120020,53,User,2013-4-02 22:51:40,250000
10772,120020,72,User,2013-4-02 22:51:40,250000
10772,120020,65,User,2013-4-02 22:51:40,250000
10773,120020,171440,Startup,2012-4-03 03:22:35,84
10776,172714,2441,Startup,2013-4-03 12:41:42,13000
10776,172714,161453,Startup,2013-4-03 12:41:42,13000
10777,172714,166233,Startup,2012-4-03 12:41:43,10000
10777,172714,3616,Startup,2012-4-03 12:41:43,10000
10795,126537,166233,Startup,2012-4-03 18:36:26,3400
10796,126537,174438,Startup,2013-4-03 22:07:47,914060
10796,126537,165544,Startup,2013-4-03 22:07:47,914060
10796,126537,145988,Startup,2013-4-03 22:07:47,914060
10796,126537,15,User,2013-4-03 22:07:47,914060
10796,126537,76,User,2013-4-03 22:07:47,914060
10797,173095,42,User,2012-4-03 22:07:47,2068
10797,173095,39,User,2012-4-03 22:07:47,2068
10798,168176,174215,Startup,2013-4-03 22:07:47,220518
10798,168176,100211,Startup,2013-4-03 22:07:47,220518
10799,168176,161453,Startup,2012-4-03 22:07:48,88000
10799,168176,145988,Startup,2012-4-03 22:07:48,88000
10799,168176,86254,Startup,2012-4-03 22:07:48,88000
10801,173089,145988,Startup,2012-4-03 22:10:35,1.25e+10
10801,173089,88048,Startup,2012-4-03 22:10:35,1.25e+10
10801,173089,67163,Startup,2012-4-03 22:10:35,1.25e+10
10801,173089,15,User,2012-4-03 22:10:35,1.25e+10
10801,173089,12,User,2012-4-03 22:10:35,1.25e+10
10801,173089,73,User,2012-4-03 22:10:35,1.25e+10
10802,170407,149749,Startup,2013-4-03 22:10:35,2.57e+11
10802,170407,91083,Startup,2013-4-03 22:10:35,2.57e+11
10802,170407,172110,Startup,2013-4-03 22:10:35,2.57e+11
10802,170407,26,User,2013-4-03 22:10:35,2.57e+11
10802,170407,19,User,2013-4-03 22:10:35,2.57e+11
