Portfolio Company Name,Website,Stage,Deal Date,Deal Size,DealSize (USD mn),DealSize (EUR mn),Total Known Funding (USD mn),Total Known Funding (EUR mn),Deal Status,Investors,Specific Funds,State,Location,Region,VC Industry Classification,Primary Industry,Sub-Industries,Investment Status
Zulama,www.zulama.com,Seed,2/2/13,0.20 USD,0.2,0.15,0.2,0.15,Completed,,,Pennsylvania,US,North America,Internet,Internet,,Active
Zuli,www.zuli.io,Angel,7/19/12,,,,,,Completed,Plug & Play Ventures,,California,US,North America,Other IT,Technology,Hardware,Active
Zuli,www.zuli.io,Unspecified Round,9/1/13,,,,,,Completed,XG Ventures,,California,US,North America,Other IT,Technology,Hardware,Active
"zulily, Inc.",www.zulily.com,Series A/Round 1,12/17/09,4.60 USD,4.6,3.07,138.6,104.84,Completed,Maveron,Maveron Equity Partners IV,Washington,US,North America,Internet,Internet,e-Commerce,Active
"zulily, Inc.",www.zulily.com,Series B/Round 2,8/4/10,6.00 USD,6,4.62,138.6,104.84,Completed,"August Capital, Maveron","August V, Maveron Equity Partners IV",Washington,US,North America,Internet,Internet,e-Commerce,Active
"zulily, Inc.",www.zulily.com,Series C/Round 3,8/11/11,43.00 USD,43,30.27,138.6,104.84,Completed,"August Capital, Maveron, Meritech Capital Partners","August V, Maveron Equity Partners IV, Meritech Capital Partners IV",Washington,US,North America,Internet,Internet,e-Commerce,Active
"zulily, Inc.",www.zulily.com,Series D/Round 4,11/15/12,85.00 USD,85,66.88,138.6,104.84,Completed,Andreessen Horowitz,Andreessen Horowitz Fund III,Washington,US,North America,Internet,Internet,e-Commerce,Active
Zulip,www.zulip.com,Add-on,3/17/14,,,,,,Completed,"Accel Partners, Benchmark Capital, BlackRock, Dropbox, Inc., Goldman Sachs, Greylock Partners, Index Ventures, Institutional Venture Partners, Morgan Stanley Alternative Investment Partners, RIT Capital Partners, Sequoia Capital, T Rowe Price, Valiant Partners, Y Combinator",,Massachusetts,US,North America,Internet,Internet,"Web Applications, Social Networking & Communication Platform, Mobile Applications, Mobile Messaging",Active
Zulu Beauty,www.zulubeauty.com,Growth Capital/Expansion,8/8/11,,,,,,Completed,Forward Ventures,,,UK,West Europe,Internet,Internet,"e-Commerce, Perfumes, Cosmetics & Toiletries",Active
Zum XR,www.zumxr.com,Unspecified Round,6/6/14,1.33 USD,1.33,0.98,1.33,0.98,Completed,Rock The Post,,Colorado,US,North America,Food and Ag.,Beverages,Soft Drinks & Carbonated Waters,Active
Zumbox,www.zumbox.com,Series A/Round 1,8/24/09,8.00 USD,8,5.61,36.3,27.17,Completed,Shelter Capital Partners,,California,US,North America,Internet,Internet,Email,Realised
Zumbox,www.zumbox.com,Unspecified Round,12/24/10,9.70 USD,9.7,7.31,36.3,27.17,Completed,,,California,US,North America,Internet,Internet,Email,Realised
Zumbox,www.zumbox.com,Series A/Round 1,3/20/08,2.50 USD,2.5,1.58,36.3,27.17,Completed,,,California,US,North America,Internet,Internet,Email,Realised
Zumbox,www.zumbox.com,Series B/Round 2,12/12/08,4.00 USD,4,2.99,36.3,27.17,Completed,,,California,US,North America,Internet,Internet,Email,Realised
Zumbox,www.zumbox.com,Series A/Round 1,6/23/09,0.50 USD,0.5,0.36,36.3,27.17,Completed,,,California,US,North America,Internet,Internet,Email,Realised
Zumbox,www.zumbox.com,Series B/Round 2,12/2/09,1.00 USD,1,0.67,36.3,27.17,Completed,Shelter Capital Partners,,California,US,North America,Internet,Internet,Email,Realised
Zumbox,www.zumbox.com,Series C/Round 3,7/10/12,10.60 USD,10.6,8.65,36.3,27.17,Completed,"Computershare, Ltd.",,California,US,North America,Internet,Internet,Email,Realised
Zumigo,www.zumigo.com,Seed,12/1/10,0.42 USD,0.42,0.32,5.12,3.82,Completed,,,California,US,North America,Telecoms,Telecoms,Mobile Applications,Active
Zumigo,www.zumigo.com,Unspecified Round,10/10/13,3.40 USD,3.4,2.51,5.12,3.82,Completed,,,California,US,North America,Telecoms,Telecoms,Mobile Applications,Active
Zumigo,www.zumigo.com,Series A/Round 1,2/1/12,1.30 USD,1.3,0.99,5.12,3.82,Completed,,,California,US,North America,Telecoms,Telecoms,Mobile Applications,Active
Zumobi,www.zumobi.com,Series A/Round 1,5/1/07,12.00 USD,12,8.97,12,8.97,Completed,"Covera Ventures, Oak Investment Partners","Covera Ventures I, Oak Investment Partners XII",Washington,US,North America,Telecoms,Telecoms,"Mobile Applications, Media, Software, Network",Active
ZumoDrive,www.zumodrive.com,Unspecified Round,12/15/09,1.50 USD,1.5,1,1.5,1,Completed,"Sherpalo Ventures, Tandem Entrepreneurs, VeriFone, Inc.",,California,US,North America,Other IT,IT,"Technology, Data Storage, Cloud Computing & Solutions",Active
